dlRefSt,opnCloSt,traDate,action
2300003,Closed,2023-5-29 22-27-46,
2300004,Closed,2023-5-29 22-28-1,
2300001,Closed,2023-5-29 22-28-14,
2300002,Closed,2023-5-29 22-28-39,
2300007,Closed,2023-5-29 22-28-59,
2300005,Closed,2023-5-29 22-29-9,
2300006,Closed,2023-5-29 22-29-30,
2300010,Closed,2023-5-29 22-29-42,
2300008,Closed,2023-5-29 22-29-56,
2300009,Closed,2023-5-29 22-30-10,
2300012,Closed,2023-5-29 22-30-22,
2300011,Closed,2023-5-29 22-30-43,
2300015,Closed,2023-5-29 22-30-53,
2300013,Closed,2023-5-29 22-31-7,
2300016,Closed,2023-5-29 22-31-23,
2300014,Closed,2023-5-29 22-31-35,
2300018,Closed,2023-5-29 22-31-46,
2300017,Closed,2023-5-29 22-31-59,
2300020,Closed,2023-5-29 22-33-50,
2300019,Closed,2023-5-29 22-34-2,
2300023,Closed,2023-5-29 22-34-15,
2300021,Closed,2023-5-29 22-36-3,
2300022,Closed,2023-5-29 22-36-27,
2300026,Closed,2023-5-29 22-36-40,
2300024,Closed,2023-5-29 22-36-52,
2300025,Closed,2023-5-29 22-37-4,
2300028,Closed,2023-5-29 22-37-16,
2300030,Closed,2023-5-29 22-37-33,
2300031,Closed,2023-5-29 22-37-45,
2300033,Closed,2023-5-29 22-37-56,
2300027,Closed,2023-5-29 22-38-7,
2300029,Closed,2023-5-29 22-38-18,
2300032,Closed,2023-5-29 22-38-31,
2300037,Closed,2023-5-29 22-38-49,
2300036,Closed,2023-5-29 22-39-1,
2300034,Closed,2023-5-29 22-39-13,
2300035,Closed,2023-5-29 22-39-25,
2300039,Closed,2023-5-29 22-39-39,
2300038,Closed,2023-5-29 22-39-50,
2300041,Closed,2023-5-29 22-40-3,
2300047,Closed,2023-5-29 22-40-15,
2300040,Closed,2023-5-29 22-40-28,
2300042,Closed,2023-5-29 22-40-39,
2300043,Closed,2023-5-29 22-40-52,
2300046,Closed,2023-5-29 22-41-2,
2300049,Closed,2023-5-29 22-41-13,
2300044,Closed,2023-5-29 22-41-26,
2300045,Closed,2023-5-29 22-41-37,
2300048,Closed,2023-5-29 22-41-51,
2300052,Closed,2023-6-3 12-31-9,
2300050,Closed,2023-6-3 12-31-23,
2300051,Closed,2023-6-3 12-31-44,
2300055,Closed,2023-6-3 12-32-3,
2300053,Closed,2023-6-3 12-32-22,
2300057,Closed,2023-6-3 12-32-41,
2300054,Closed,2023-6-3 12-32-54,
2300056,Closed,2023-6-3 12-33-5,
2300060,Closed,2023-6-3 12-33-20,
2300058,Closed,2023-6-3 12-33-36,
2300059,Closed,2023-6-3 12-33-49,
2300063,Closed,2023-6-3 12-34-14,
2300064,Closed,2023-6-3 12-34-27,
2300062,Closed,2023-6-3 12-35-14,
2300067,Closed,2023-6-3 12-35-45,
2300065,Closed,2023-6-3 12-36-13,
2300068,Closed,2023-6-3 12-36-49,
2300066,Closed,2023-6-3 12-37-2,
2300070,Closed,2023-6-3 12-37-16,
2300069,Closed,2023-6-3 12-37-35,
2300072,Closed,2023-6-3 12-37-51,
2300071,Closed,2023-6-3 12-38-7,
2300074,Closed,2023-6-3 12-38-21,
2300073,Closed,2023-6-3 12-38-32,
2300076,Closed,2023-6-3 12-38-42,
2300075,Closed,2023-6-3 12-38-58,
2300079,Closed,2023-6-3 12-39-12,
2300077,Closed,2023-6-3 12-39-26,
2300078,Closed,2023-6-3 12-39-39,
2300082,Closed,2023-6-3 12-39-54,
2300083,Closed,2023-6-3 12-40-9,
2300080,Closed,2023-6-3 12-40-21,
2300081,Closed,2023-6-3 12-40-34,
2300085,Closed,2023-6-3 12-40-51,
2300084,Closed,2023-6-3 12-42-26,
2300088,Closed,2023-6-3 12-42-38,
2300089,Closed,2023-6-3 12-43-4,
2300086,Closed,2023-6-3 12-50-24,
2300087,Closed,2023-6-3 12-50-43,
2300091,Closed,2023-6-3 12-50-57,
2300090,Closed,2023-6-3 12-51-16,
2300094,Closed,2023-6-3 12-51-57,
2300092,Closed,2023-6-3 12-52-13,
2300093,Closed,2023-6-3 12-52-27,
2300096,Closed,2023-6-3 12-52-47,
2300095,Closed,2023-6-3 12-53-0,
2300098,Closed,2023-6-3 12-53-14,
2300099,Closed,2023-6-3 13-1-58,
2300100,Closed,2023-6-3 13-2-22,
2300101,Closed,2023-6-3 13-2-37,
2300097,Closed,2023-6-3 13-2-53,
2300103,Closed,2023-6-3 13-3-5,
2300102,Closed,2023-6-3 13-3-19,
2300107,Closed,2023-6-3 13-3-38,
2300104,Closed,2023-6-3 13-3-52,
2300105,Closed,2023-6-3 13-4-7,
2300108,Closed,2023-6-3 13-4-25,
2300109,Closed,2023-6-3 13-4-40,
2300110,Closed,2023-6-3 13-6-6,
2300111,Closed,2023-6-3 13-6-20,
2300112,Closed,2023-6-3 13-6-44,
2300113,Closed,2023-6-3 13-6-58,
2300114,Closed,2023-6-3 13-7-28,
2300115,Closed,2023-6-3 13-7-48,
2300116,Closed,2023-6-3 13-8-1,
2300117,Closed,2023-6-3 13-8-24,
2300118,Closed,2023-6-3 13-8-40,
2300120,Closed,2023-6-3 13-8-54,
2300121,Closed,2023-6-3 13-9-6,
2300119,Closed,2023-6-3 13-9-20,
2300122,Closed,2023-6-3 13-9-35,
2300123,Closed,2023-6-3 13-9-49,
2300124,Closed,2023-6-3 13-10-50,
2300125,Closed,2023-6-3 13-11-2,
2300126,Closed,2023-6-3 13-11-18,
2300127,Closed,2023-6-3 13-11-30,
2300128,Closed,2023-6-3 13-11-57,
2300129,Closed,2023-6-3 13-12-17,
2300130,Closed,2023-6-3 13-12-30,
2300131,Closed,2023-6-3 13-12-59,
2300132,Closed,2023-6-3 13-13-51,
2300133,Closed,2023-6-3 13-14-3,
2300134,Closed,2023-6-3 13-14-20,
2300135,Closed,2023-6-3 13-14-54,
2300136,Closed,2023-6-3 13-15-7,
2300137,Closed,2023-6-3 13-15-22,
2300138,Closed,2023-6-3 13-15-34,
2300139,Closed,2023-6-3 13-15-45,
2300140,Closed,2023-6-3 13-16-5,
2300141,Closed,2023-6-3 13-16-19,
2300142,Closed,2023-6-3 13-16-34,
2300143,Closed,2023-6-3 13-16-47,
2300144,Closed,2023-6-3 13-16-58,
2300145,Closed,2023-6-3 13-17-8,
2300146,Closed,2023-6-3 13-17-58,
2300147,Closed,2023-6-3 13-18-13,
2300148,Closed,2023-6-3 13-18-29,
2300149,Closed,2023-6-3 13-18-48,
2300150,Closed,2023-6-3 13-18-59,
2300151,Closed,2023-6-3 13-19-12,
2300152,Closed,2023-6-3 13-19-28,
2300153,Closed,2023-6-3 13-19-39,
2300154,Closed,2023-6-3 13-20-3,
2300155,Closed,2023-6-3 13-20-14,
2300156,Closed,2023-6-3 13-20-26,
2300157,Closed,2023-6-3 13-20-42,
2300158,Closed,2023-6-3 13-21-0,
2300159,Closed,2023-6-3 13-21-13,
2300160,Closed,2023-6-3 13-21-25,
2300161,Closed,2023-6-3 13-21-35,
2300162,Closed,2023-6-3 13-21-50,
2300163,Closed,2023-6-3 13-22-2,
2300164,Closed,2023-6-3 13-22-11,
2300165,Closed,2023-6-3 13-22-20,
2300166,Closed,2023-6-3 13-22-32,
2300167,Closed,2023-6-3 13-22-55,
2300168,Closed,2023-6-3 13-23-9,
2300169,Closed,2023-6-3 13-23-20,
2300170,Closed,2023-6-3 13-23-32,
2300171,Closed,2023-6-3 13-23-44,
2300172,Closed,2023-6-3 13-23-58,
2300173,Closed,2023-6-3 13-24-10,
2300174,Closed,2023-6-3 13-24-26,
2300175,Closed,2023-6-3 13-24-35,
2300176,Closed,2023-6-3 13-24-45,
2300177,Closed,2023-6-3 13-24-54,
2300178,Closed,2023-6-3 13-25-4,
2300179,Closed,2023-6-3 13-25-32,
2300180,Closed,2023-6-3 13-25-44,
2300181,Closed,2023-6-3 13-25-59,
2300182,Closed,2023-6-3 13-26-44,
2300183,Closed,2023-6-3 13-27-3,
2300184,Closed,2023-6-3 13-27-15,
2300185,Closed,2023-6-3 13-27-28,
2300186,Closed,2023-6-3 13-28-35,
2300187,Closed,2023-6-3 13-28-59,
2300188,Closed,2023-6-3 13-29-8,
2300189,Closed,2023-6-3 13-29-21,
2300190,Closed,2023-6-3 13-29-33,
2300191,Closed,2023-6-3 13-29-45,
2300192,Closed,2023-6-3 13-29-56,
2300193,Closed,2023-6-3 13-30-8,
2300194,Closed,2023-6-3 13-30-22,
2300195,Closed,2023-6-3 13-30-35,
2300196,Closed,2023-6-3 13-30-48,
2300197,Closed,2023-6-3 13-31-2,
2300198,Closed,2023-6-3 13-31-19,
2300199,Closed,2023-6-3 13-31-38,
2300200,Closed,2023-6-3 13-31-52,
2300201,Closed,2023-6-3 13-32-6,
2300202,Closed,2023-6-3 13-32-19,
2300203,Closed,2023-6-3 13-32-37,
2300204,Closed,2023-6-3 13-33-4,
2300205,Closed,2023-6-3 13-33-15,
2300206,Closed,2023-6-3 13-33-32,
2300207,Closed,2023-6-3 13-33-46,
2300208,Closed,2023-6-3 13-34-5,
2300209,Closed,2023-6-3 13-34-27,
2300210,Closed,2023-6-3 13-34-39,
2300211,Closed,2023-6-3 13-34-52,
2300212,Closed,2023-6-3 13-35-7,
2300213,Closed,2023-6-3 13-35-25,
2300214,Closed,2023-6-3 13-35-42,
2300215,Closed,2023-6-3 13-35-57,
2300216,Closed,2023-6-3 13-36-9,
2300217,Closed,2023-6-3 13-36-28,
2300218,Closed,2023-6-3 13-36-41,
2300219,Closed,2023-6-3 13-36-56,
2300220,Closed,2023-6-3 13-37-11,
2300221,Closed,2023-6-3 13-37-22,
2300222,Closed,2023-6-3 13-37-36,
2300223,Closed,2023-6-3 13-37-48,
2300224,Closed,2023-6-3 13-38-0,
2300225,Closed,2023-6-3 13-38-10,
2300226,Closed,2023-6-3 13-38-22,
2300227,Closed,2023-6-3 13-38-36,
2300228,Closed,2023-6-3 13-38-47,
2300229,Closed,2023-6-3 13-39-0,
2300230,Closed,2023-6-3 13-39-15,
2300231,Closed,2023-6-3 13-39-30,
2300233,Closed,2023-6-3 13-39-45,
2300232,Closed,2023-6-3 13-39-58,
2300234,Closed,2023-6-3 13-40-17,
2300235,Closed,2023-6-3 13-40-30,
2300236,Closed,2023-6-3 13-40-42,
2300237,Closed,2023-6-3 13-40-55,
2300238,Closed,2023-6-3 13-41-9,
2300239,Closed,2023-6-3 13-41-40,
2300240,Closed,2023-6-3 13-41-54,
2300241,Closed,2023-6-3 13-42-7,
2300242,Closed,2023-6-3 13-42-19,
2300243,Closed,2023-6-3 13-42-31,
2300244,Closed,2023-6-3 13-42-42,
2300245,Closed,2023-6-3 13-42-51,
2300246,Closed,2023-6-3 13-43-8,
2300247,Closed,2023-6-3 13-43-20,
2300248,Closed,2023-6-3 13-43-32,
2300249,Closed,2023-6-3 13-43-42,
2300250,Closed,2023-6-3 13-43-54,
2300251,Closed,2023-6-3 13-44-4,
2300253,Closed,2023-6-3 13-44-16,
2300252,Closed,2023-6-3 13-44-25,
2300254,Closed,2023-6-3 13-44-40,
2300255,Closed,2023-6-3 13-44-54,
2300256,Closed,2023-6-3 13-45-4,
2300257,Closed,2023-6-3 13-45-17,
2300258,Closed,2023-6-3 13-45-30,
2300259,Closed,2023-6-3 13-45-42,
2300260,Closed,2023-6-3 13-45-53,
2300261,Closed,2023-6-3 13-46-7,
2300262,Closed,2023-6-3 13-46-18,
2300263,Closed,2023-6-3 13-46-31,
2300264,Closed,2023-6-3 13-46-45,
2300265,Closed,2023-6-3 13-46-56,
2300266,Closed,2023-6-3 13-47-7,
2300061,Closed,2023-6-12 15-27-33,
2300270,Closed,2023-6-12 15-27-52,
2300271,Open,2023-6-14 23-17-49, 
2300271,Closed,2023-6-14 23-19-24,
2300271,Open,2023-6-17 13-40-15, 
2300272,Open,2023-6-17 20-10-57, 
